,c1,c2,resume_skill_text
214,56.247707,39.499645,156
215,55.20189,39.584747,157
216,55.184258,40.027912,158
217,57.15235,39.560097,159
218,45.815174,36.53144,160
219,54.951874,40.527473,161
220,5.7800684,-15.426596,intermediate
221,55.65729,40.213554,162
222,55.043724,40.35742,163
223,57.595055,41.995056,164
224,47.57978,37.229908,165
225,54.069897,39.76695,166
226,54.485092,39.883434,167
227,53.634735,39.483017,168
228,55.077602,40.475796,169
229,45.68348,37.03301,170
230,55.97489,41.633835,171
231,54.52603,40.075356,172
232,54.94667,40.45857,173
233,57.584446,42.436485,174
234,46.838608,37.08211,175
235,54.876152,40.735584,176
236,54.719982,40.80293,177
237,57.6442,39.59292,178
238,55.993595,40.737637,179
239,45.260624,36.756428,180
240,55.30499,41.493187,181
241,57.702057,42.464756,182
242,54.51414,41.017773,183
243,56.106747,40.339584,184
244,47.25801,37.38813,185
245,53.98182,41.401337,186
246,54.100994,43.10953,187
247,53.985184,41.320927,188
248,53.55829,41.304832,189
249,46.065704,37.304577,190
250,52.971706,40.581127,191
251,53.470512,41.116787,192
252,1.6144576,68.38006,2019
253,53.917328,41.348724,193
254,55.416325,41.864285,194
255,47.533337,37.72613,195
256,57.863796,39.8928,196
257,56.79711,41.801132,197
258,54.50577,42.39943,198
259,49.386486,44.99144,199
260,43.21802,34.35435,200
261,55.458138,43.786438,201
262,51.799297,42.389545,202
263,1.971114,69.440216,2015
264,57.19216,43.740883,203
265,55.28412,44.237675,204
266,55.339214,44.254753,205
267,55.30652,44.915802,206
268,58.459602,47.49591,207
269,55.138958,44.463097,208
270,54.279205,43.641273,209
271,45.67585,38.89602,210
272,56.62731,44.19579,211
273,58.499966,47.21506,212
274,56.869804,44.19797,213
275,57.119495,43.953682,214
276,47.52754,39.318954,215
277,54.338017,45.840508,216
278,52.844433,43.420662,217
279,54.929493,46.222042,218
280,53.591934,45.085968,219
281,44.99637,37.810127,220
282,54.35309,45.012817,221
283,53.542576,45.108913,222
284,53.25156,46.247494,223
285,53.036423,44.64685,224
286,45.704197,37.804546,225
287,54.85736,46.295296,226
288,53.56508,45.46417,227
289,52.526573,43.387516,228
290,-29.51864,14.929042,excel
291,51.033962,45.291504,229
292,44.99099,37.881924,230
293,53.413376,46.181614,231
294,51.767864,46.41789,232
295,52.181187,46.41659,233
296,51.62224,46.942497,234
297,48.10583,40.926098,235
298,-49.235313,-25.092844,mathematics
299,51.704525,47.183018,236
300,51.83825,47.5261,237
301,52.074467,47.2117,238
302,52.252277,47.340073,239
303,44.729847,38.011368,240
304,51.901978,44.526833,241
305,48.559574,43.12697,242
306,51.037235,46.8806,243
307,51.041782,47.512085,244
308,46.413754,41.405674,245
309,53.156563,47.65511,246
310,53.433666,46.60546,247
311,51.533863,45.948357,248
312,50.02195,45.66453,249
313,43.257565,34.972225,250
314,51.0868,47.10302,251
315,50.17814,46.85339,252
316,50.9855,46.413578,253
317,51.458237,45.699295,254
318,10.598688,-17.395666,currently
319,45.922424,42.153954,255
320,-21.47563,-55.242157,working
321,52.924366,34.75913,256
322,51.979435,44.886967,257
323,4.141218,-21.812012,based
